Network,Rn,Re,Attacking Model,Rn_attacked,Re_attacked,Rn_CAR,Re_CAR,Rn_L2,Re_L2,Rn_L3,Re_L3
ca-sandi_auths,6.732558139534884,11.733870967741936,Clustering,6.942028985507246,8.956043956043956,8.488372093023257,11.85483870967742,7.034883720930233,11.758064516129032,6.290697674418604,11.556451612903226
soc-firm-hi-tech,6.242424242424242,13.577235772357724,Degree,5.0,6.571428571428571,7.121212121212121,13.367521367521368,6.484848484848484,13.65040650406504,6.636363636363637,13.674796747967479
soc-firm-hi-tech,6.242424242424242,13.577235772357724,Betweenness,3.6923076923076925,6.0,6.636363636363637,13.169642857142858,5.878787878787879,13.723577235772357,5.9393939393939394,14.008130081300813
soc-firm-hi-tech,6.242424242424242,13.577235772357724,Closeness,4.615384615384615,6.628571428571429,6.545454545454546,12.859649122807017,6.0606060606060606,13.715447154471544,6.181818181818182,13.91869918699187
soc-firm-hi-tech,6.242424242424242,13.577235772357724,Clustering,6.1923076923076925,12.567307692307692,6.696969696969697,13.731707317073171,6.696969696969697,13.577235772357724,5.9393939393939394,13.739837398373984
CAG_mat72,10.430555555555555,34.436,Degree,8.172413793103448,21.65028901734104,10.5,34.43866666666667,9.875,34.248,9.51388888888889,34.385333333333335
CAG_mat72,10.430555555555555,34.436,Betweenness,8.241379310344827,24.604477611940297,9.541666666666666,33.937333333333335,9.694444444444445,34.412,9.48611111111111,34.38133333333333
CAG_mat72,10.430555555555555,34.436,Closeness,8.379310344827585,23.317808219178083,9.916666666666666,34.462666666666664,10.805555555555555,34.513333333333335,10.472222222222221,34.370666666666665
CAG_mat72,10.430555555555555,34.436,Clustering,9.586206896551724,30.322970639032814,9.791666666666666,34.32,10.444444444444445,34.41466666666667,10.180555555555555,34.324
ENZYMES123,4.496296296296296,5.409448818897638,Degree,1.462962962962963,1.68,7.281481481481482,7.913385826771654,1.8074074074074074,2.9763779527559056,2.7333333333333334,4.291338582677166
ENZYMES123,4.496296296296296,5.409448818897638,Betweenness,1.8703703703703705,2.338235294117647,6.955555555555556,6.5,2.022222222222222,3.188976377952756,2.1703703703703705,3.283464566929134
ENZYMES123,4.496296296296296,5.409448818897638,Closeness,2.490740740740741,2.858974358974359,5.644444444444445,8.078740157480315,2.6444444444444444,4.913385826771654,2.8,4.606299212598425
ENZYMES123,4.496296296296296,5.409448818897638,Clustering,3.6203703703703702,4.477777777777778,5.82962962962963,6.086614173228346,4.0814814814814815,4.503937007874016,3.637037037037037,5.118110236220472
ENZYMES8,3.0851063829787235,2.774436090225564,Degree,1.654867256637168,2.4339622641509435,8.28368794326241,8.318181818181818,2.028368794326241,4.120300751879699,3.269503546099291,7.714285714285714
ENZYMES8,3.0851063829787235,2.774436090225564,Betweenness,1.6194690265486726,1.859375,7.567375886524823,7.962406015037594,1.6170212765957446,2.338345864661654,2.0638297872340425,3.0150375939849625
ENZYMES8,3.0851063829787235,2.774436090225564,Closeness,2.088495575221239,2.2133333333333334,7.5177304964539005,6.917293233082707,2.078014184397163,2.4661654135338344,2.1702127659574466,2.6165413533834587
ENZYMES8,3.0851063829787235,2.774436090225564,Clustering,2.4601769911504423,2.8333333333333335,4.971631205673759,4.12781954887218,2.801418439716312,3.443609022556391,2.652482269503546,3.511278195488722
