Network,Rn,Re,Attacking Model,Rn_attacked,Re_attacked,Rn_HD,Re_HD,Rn_HB,Re_HB,Rn_HClo,Re_HClo,Rn_HClu,Re_HClu
soc-firm-hi-tech,6.393939393939394,13.715447154471544,Degree,4.115384615384615,6.457142857142857,6.9393939393939394,13.520325203252032,6.878787878787879,13.487804878048781,6.696969696969697,13.731707317073171,6.575757575757576,13.715447154471544
soc-firm-hi-tech,6.393939393939394,13.715447154471544,Betweenness,3.8461538461538463,5.676470588235294,6.757575757575758,13.674796747967479,7.090909090909091,13.560975609756097,6.9393939393939394,13.479674796747968,6.7272727272727275,13.398373983739837
soc-firm-hi-tech,6.393939393939394,13.715447154471544,Closeness,4.538461538461538,6.857142857142857,6.848484848484849,13.934959349593496,6.848484848484849,13.699186991869919,7.121212121212121,13.504065040650406,6.696969696969697,13.83739837398374
soc-firm-hi-tech,6.393939393939394,13.715447154471544,Clustering,5.846153846153846,12.817307692307692,6.303030303030303,13.682926829268293,6.666666666666667,13.707317073170731,6.606060606060606,13.991869918699187,6.636363636363637,13.463414634146341
CAG_mat72,10.666666666666666,34.43333333333333,Degree,8.0,21.523121387283236,10.777777777777779,34.102666666666664,10.5,34.31466666666667,10.541666666666666,34.16133333333333,10.48611111111111,34.08533333333333
CAG_mat72,10.666666666666666,34.43333333333333,Betweenness,7.275862068965517,24.761194029850746,10.597222222222221,34.07866666666666,10.63888888888889,34.462666666666664,10.86111111111111,34.36,10.805555555555555,34.52133333333333
CAG_mat72,10.666666666666666,34.43333333333333,Closeness,8.46551724137931,23.43013698630137,10.652777777777779,34.345333333333336,10.38888888888889,34.278666666666666,10.833333333333334,34.32533333333333,10.73611111111111,34.294666666666664
CAG_mat72,10.666666666666666,34.43333333333333,Clustering,9.448275862068966,30.155440414507773,10.61111111111111,34.40533333333333,10.51388888888889,34.18,10.5,34.37466666666667,10.777777777777779,34.82666666666667
ENZYMES123,4.6,4.456692913385827,Degree,1.5092592592592593,1.62,6.711111111111111,7.519685039370079,7.859259259259259,8.51968503937008,8.422222222222222,8.10236220472441,1.5333333333333334,1.7532467532467533
ENZYMES123,4.6,4.456692913385827,Betweenness,2.037037037037037,1.7205882352941178,5.866666666666666,7.322834645669292,6.2518518518518515,6.889763779527559,5.681481481481481,7.590551181102362,2.488888888888889,2.168421052631579
ENZYMES123,4.6,4.456692913385827,Closeness,2.425925925925926,2.8461538461538463,6.592592592592593,5.826771653543307,4.837037037037037,7.102362204724409,5.044444444444444,6.409448818897638,2.8222222222222224,2.704761904761905
ENZYMES123,4.6,4.456692913385827,Clustering,2.8981481481481484,4.033333333333333,5.718518518518518,7.05511811023622,6.503703703703704,8.062992125984252,6.377777777777778,7.519685039370079,4.7555555555555555,4.888888888888889
ENZYMES8,2.645390070921986,3.180451127819549,Degree,1.6725663716814159,2.2452830188679247,6.553191489361702,8.796992481203008,6.624113475177305,8.300751879699249,6.51063829787234,9.631578947368421,2.099290780141844,2.111111111111111
ENZYMES8,2.645390070921986,3.180451127819549,Betweenness,1.7079646017699115,1.859375,5.7304964539007095,7.2330827067669174,6.319148936170213,8.691729323308271,5.865248226950355,7.796992481203008,1.8865248226950355,2.119565217391304
ENZYMES8,2.645390070921986,3.180451127819549,Closeness,1.991150442477876,2.066666666666667,6.98581560283688,7.030075187969925,6.652482269503546,7.3007518796992485,6.5177304964539005,7.052631578947368,2.723404255319149,2.3398058252427183
ENZYMES8,2.645390070921986,3.180451127819549,Clustering,2.3008849557522124,2.4895833333333335,4.879432624113475,4.7894736842105265,3.6382978723404253,4.105263157894737,3.595744680851064,4.082706766917293,3.0354609929078014,3.1774193548387095
